# Paquetes instalados explícitamente
# Generado desde: pacman -Qe + pacman -Q
# Fecha: 2026-08-27

7zip 26.02-1
s-nail 14.9.25-1
samba 2:4.24.6-1
sbctl 0.18-2
sddm 0.21.0-7
sddm-breath-theme 24.0.0-6
sddm-kcm 6.7.4-1
shotcut 26.8.1-1
skanlite 26.04.3-1
slurp 1.5.0-2
sof-firmware 2025.12.2-1
spectacle 1:6.7.4-1
sshfs 3.7.6-1
stow 2.4.1-1
sudo 1.9.17.p2-6
swappy 1.8.0-1
swaybg 1.2.2-1
swayidle 1.9.0-1
swaylock-effects-git r470.496059a-1
sysfsutils 2.1.1-2
system-config-printer 1.5.18-6
systemsettings 6.7.4-1
tailscale 1.102.2-1
telegram-desktop 7.0.9-2
terminus-font 4.49.1-8
texinfo 7.3-1
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
timeshift 25.12.4-1
timeshift-autosnap-manjaro 0.10.0-1
tor 0.4.9.11-1
torbrowser-launcher 0.3.9-1
tree 2.3.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-5
ttf-indic-otf 0.2-12
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-liberation 2.1.5-2
udev-usb-sync 1.1-1
udiskie 2.7.0-2
udisks2 2.11.2-1
unarchiver 1.10.8-6
unzip 6.0-23
update-grub 2:2.14-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
visual-studio-code-bin 1.130.0-1
vlc 3.0.23_2-10
vulkan-intel 1:26.1.7-1
vulkan-nouveau 1:26.1.7-1
vulkan-radeon 1:26.1.7-1
waybar 0.15.0-2
wayland-protocols 1.49-1
webapp-manager 1.4.6-2
wev 1.1.0-1
wf-recorder 0.6.0-2
wget 1.25.0-6
which 2.25-1
wireless-regdb 2026.05.30-1
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
xarchiver 0.5.4.27-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-desktop-portal-kde 6.7.4-2
xdg-desktop-portal-wlr 0.8.2-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-input-elographics 1.4.4-2
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xfsprogs 7.1.1-1
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-misc 1.0.4-2
xorg-mkfontscale 1.2.4-2
xorg-server 21.1.24-1
xorg-twm 1.0.13.1-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.7-1
xorg-xrandr 1.5.4-1
yakuake 26.04.3-1
yay 13.0.1-1
ydotool 1.0.4-2
zenity 4.2.2-1
zip 3.0-14
zram-generator 1.2.1-1
